 sa4_code16,state,city,region_code,coordinate, sa4_name16,,,
308,QLD,Queensland Other Regions,11,"146.5725,-25.9661,152.7194,-21.9152",Central Queensland,,,
309,QLD,Gold Coast,04,"153.0079,-28.3579,153.5522,-27.6918",Gold Coast,,,
310,QLD,Queensland Other Regions,11,"152.1340,-28.3390,152.9986,-26.9902",Ipswich,,,
311,QLD,Queensland Other Regions,11,"152.6478,-28.3640,153.2904,-27.5873",Logan - Beaudesert,,,
312,QLD,Queensland Other Regions,11,"146.0315,-23.5560,150.4420,-19.7055",Mackay - Isaac - Whitsunday,,,
313,QLD,Queensland Other Regions,11,"152.0734,-27.3636,153.4685,-26.4523",Moreton Bay - North,,,
314,QLD,Queensland Other Regions,11,"152.6810,-27.4224,153.0786,-27.0863",Moreton Bay - South,,,
315,QLD,Queensland Other Regions,11,"137.9943,-28.9993,147.9546,-9.1422",Queensland - Outback,,,
316,QLD,Queensland Other Regions,11,"152.5509,-26.9848,153.1514,-26.1371",Sunshine Coast,,,
317,QLD,Queensland Other Regions,11,"151.7665,-27.9697,152.3823,-27.3493",Toowoomba,,,
318,QLD,Queensland Other Regions,11,"144.2852,-22.1048,147.6634,-18.3137",Townsville,,,
319,QLD,Queensland Other Regions,11,"150.3696,-26.9479,153.3604,-24.3921",Wide Bay,,,
401,SA,Adelaide,05,"138.5719,-35.2433,139.0440,-34.6805",Adelaide - Central and Hills,,,
402,SA,Adelaide,05,"138.4356,-34.8883,138.8480,-34.5002",Adelaide - North,,,
403,SA,Adelaide,05,"138.4421,-35.3503,138.7134,-34.9585",Adelaide - South,,,
404,SA,Adelaide,05,"138.4757,-34.9759,138.5879,-34.7552",Adelaide - West,,,
405,SA,South Australia Other Regions,12,"136.4414,-35.3782,139.3580,-32.1203",Barossa - Yorke - Mid North,,,
406,SA,South Australia Other Regions,12,"129.0013,-35.3404,141.0030,-25.9961",South Australia - Outback,,,
407,SA,South Australia Other Regions,12,"136.5329,-38.0626,140.9739,-33.8006",South Australia - South East,,,
501,WA,Western Australia Other Regions,14,"114.9746,-35.0689,116.8568,-32.7552",Bunbury,,,
502,WA,Western Australia Other Regions,14,"115.6068,-32.8019,116.0315,-32.4446",Mandurah,,,
503,WA,Perth,06,"115.7500,-32.0251,115.8934,-31.9075",Perth - Inner,,,
504,WA,Perth,06,"115.8769,-32.0626,116.4151,-31.5972",Perth - North East,,,
505,WA,Perth,06,"115.5607,-31.9330,115.8999,-31.4551",Perth - North West,,,
506,WA,Perth,06,"115.8300,-32.4775,116.3581,-31.9158",Perth - South East,,,
507,WA,Perth,06,"115.4495,-32.4582,115.9162,-31.9873",Perth - South West,,,
509,WA,Western Australia Other Regions,14,"114.9704,-35.1920,120.5815,-29.6124",Western Australia - Wheat Belt,,,
510,WA,Western Australia Other Regions,14,"114.3040,-23.8879,129.0013,-13.6887",Western Australia - Outback (North),,,
511,WA,Western Australia Other Regions,14,"112.9211,-34.4742,129.0020,-21.7858",Western Australia - Outback (South),,,
601,TAS,Tasmania Other Regions,13,"147.0267,-43.1213,147.9369,-42.6554",Hobart,,,
602,TAS,Tasmania Other Regions,13,"145.9513,-42.2813,148.4987,-39.2037",Launceston and North East,,,
603,TAS,Tasmania Other Regions,13,"145.8325,-43.7405,148.3593,-41.7003",South East,,,
604,TAS,Tasmania Other Regions,13,"143.8189,-43.3226,146.7621,-39.5793",West and North West,,,
701,NT,Northern Territory Other Regions,15,"130.8151,-12.8619,131.3967,-12.0010",Darwin,,,
702,NT,Northern Territory Other Regions,15,"129.0004,-25.9986,137.9991,-10.9059",Northern Territory - Outback,,,
801,ACT,Canberra,07,"148.7628,-35.9208,149.3993,-35.1244",Australian Capital Territory,,,
